nombre_tabla
movGC_DocumentoxDistribucion
movGC_vtDocumentoVtaCab
movGC_vtDocumentoVtaDet
maeGC_ProductoEquiv
maeGC_cfEstado
maeGC_cfTipoDocumento
RM00101
RM00201
maeGC_cfConcepto
maeGC_Producto
maeGC_Marca
